ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.025794873223739325,0.1,m4.large,0.9998127421
13,0.057716096328652274,0.2,m4.xlarge,0.997421970421
26,0.14035650387039786,0.4,m4.2xlarge,0.994057277979
53,0.26071376877437613,0.8,m4.4xlarge,0.995078690352962
124,0.621448957750415,2.0,m4.10xlarge,0.9923875191041163
188,1.2262484149855781,3.2,m4.16xlarge,0.9912202849353987
8,0.028813624764230234,0.1,c4.large,0.999988574436314
16,0.0501007541748969,0.2,c4.xlarge,0.999123124
31,0.134390814536999,0.4,c4.2xlarge,0.9995031271237151
62,0.24655273077746484,0.8,c4.4xlarge,0.9997691551259377
132,0.5272723492141056,1.6,c4.8xlarge,0.9972876067895917
7,0.038383892787524146,0.148,r4.large,0.997123412
13,0.07370356707463424,0.296,r4.xlarge,0.99072896676075
27,0.14407662342425132,0.593,r4.2xlarge,0.9814241241
53,0.28420727697654663,1.186,r4.4xlarge,0.948172739448
99,0.5543676058903818,2.37,r4.8xlarge,0.928072833911
14,0.1732221137277424,0.69,d2.xlarge,0.9743949633405209
28,0.2731142340168873,1.38,d2.2xlarge,0.8136163648497001
56,0.5999075816671847,2.76,d2.4xlarge,0.8053379768614161
16,1.279323383484014,5.52,d2.8xlarge,0.9834571364465574
7,0.028202170983680063,0.156,i3.large,0.991414124
13,0.1699535657705979,0.312,i3.xlarge,0.9839676699974641
27,0.3247398421911824,0.624,i3.2xlarge,0.9776778544627762
53,0.655113682514641,1.248,i3.4xlarge,0.9926978961898822
99,1.3176560522695953,2.496,i3.8xlarge,0.8465666697220076
200,1.4677328584419402,4.992,i3.16xlarge,0.9248203736758698
